source_repo,source_section,category,task,dataset,date,samples,modal,annotations,data_sources,gsd,paper,paper_url,link,link_url,image_size,text_count,image_count,content,description,entry_title,entry_url,mentioned_datasets,notes
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,FMoW-RGB,2018,363.6k,RGB,62 classes,"QuickBird-2, GeoEye-1, WorldView-2/3",varying,paper,https://openaccess.thecvf.com/content_cvpr_2018/html/Christie_Functional_Map_of_CVPR_2018_paper.html,download,https://github.com/fMoW/dataset,,,,,,FMoW-RGB,https://github.com/fMoW/dataset,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,BigEarthNet,2019,1.2 million,"MSI,SAR",19 LULC classes,Sentinel-1/2,"10,20,60m",paper,https://ieeexplore.ieee.org/abstract/document/8900532,download,https://bigearth.net,,,,,,BigEarthNet,https://bigearth.net,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,SeCo,2021,1 million,MSI,None,Sentinel-2; NAIP,"10,20,60m",paper,https://openaccess.thecvf.com/content/ICCV2021/html/Manas_Seasonal_Contrast_Unsupervised_Pre-Training_From_Uncurated_Remote_Sensing_Data_ICCV_2021_paper.html,download,https://github.com/ServiceNow/seasonal-contrast?tab=readme-ov-file,,,,,,SeCo,https://github.com/ServiceNow/seasonal-contrast?tab=readme-ov-file,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,FMoW-Sentinel,2022,"882,779",MSI,None,Sentinel-2,10m,paper,https://proceedings.neurips.cc/paper_files/paper/2022/hash/01c561df365429f33fcd7a7faa44c985-Abstract-Conference.html,download,https://sustainlab-group.github.io/SatMAE/,,,,,,FMoW-Sentinel,https://sustainlab-group.github.io/SatMAE/,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,MillionAID,2022,1 million,RGB,51 LULC classes,"SPOT, IKONOS,WorldView, Landsat, etc.",0.5m-153m,paper,https://ieeexplore.ieee.org/abstract/document/9782149,download,https://captain-whu.github.io/DiRS/,,,,,,MillionAID,https://captain-whu.github.io/DiRS/,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,GeoPile,2023,600K,RGB,None,"Sentinel-2, NAIP, etc.",0.1m-30m,paper,https://openaccess.thecvf.com/content/ICCV2023/html/Mendieta_Towards_Geospatial_Foundation_Models_via_Continual_Pretraining_ICCV_2023_paper.html,download,https://github.com/mmendiet/GFM,,,,,,GeoPile,https://github.com/mmendiet/GFM,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,SSL4EO-L,2023,5 million,MSI,None,Landsat 4–9,30m,paper,https://proceedings.neurips.cc/paper_files/paper/2023/file/bbf7ee04e2aefec136ecf60e346c2e61-Paper-Datasets_and_Benchmarks.pdf,download,https://huggingface.co/datasets/torchgeo/ssl4eo_l,,,,,,SSL4EO-L,https://huggingface.co/datasets/torchgeo/ssl4eo_l,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,SSL4EO-S12,2023,3 million,"MSI, SAR",None,Sentinel-1/2,10m,paper,https://arxiv.org/pdf/2211.07044,download,https://github.com/zhu-xlab/SSL4EO-S12,,,,,,SSL4EO-S12,https://github.com/zhu-xlab/SSL4EO-S12,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,SatlasPretrain,2023,856K tiles,"RGB,MSI,SAR",137 classes of 7 types,"Sentinel-1/2, NAIP, NOAA Lidar Scans","0.5–2m,10m",paper,https://openaccess.thecvf.com/content/ICCV2023/html/Bastani_SatlasPretrain_A_Large-Scale_Dataset_for_Remote_Sensing_Image_Understanding_ICCV_2023_paper.html,download,https://github.com/allenai/satlas/blob/main/SatlasPretrain.md,,,,,,SatlasPretrain,https://github.com/allenai/satlas/blob/main/SatlasPretrain.md,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VFM Datasets,VFM Datasets,,MMEarth,2024,1.2 million,"RGB,MSI,SAR,DSM",None,"Sentinel-1/2, Aster DEM, etc.","10,20,60m",paper,https://arxiv.org/pdf/2405.02771,download,https://github.com/vishalned/MMEarth-data,,,,,,MMEarth,https://github.com/vishalned/MMEarth-data,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,RSVQA-LR,,,Vision-Language,,,10,,,download,https://zenodo.org/records/6344334,256,77K,772,"Questions for existing judging, area estimation, object comparison, scene recognition","Questions for existing judging, area estimation, object comparison, scene recognition",RSVQA-LR,https://zenodo.org/records/6344334,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,RSVQA-HR,,,Vision-Language,,,0.15,,,download,https://zenodo.org/records/6344367,512,955K,"10,659","Questions for existing judging, area estimation, object comparison, scene recognition","Questions for existing judging, area estimation, object comparison, scene recognition",RSVQA-HR,https://zenodo.org/records/6344367,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,RSVQAxBen,,,Vision-Language,,,10--60,,,download,https://zenodo.org/records/5084904,120,15M,"590,326","Questions for existing judging, object comparison, scene recognition","Questions for existing judging, object comparison, scene recognition",RSVQAxBen,https://zenodo.org/records/5084904,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,RSIVQA,,,Vision-Language,,,0.3--8,,,download,https://github.com/spectralpublic/RSIVQA,"512--4,000",111K,"37,000","Questions for existing judging, area estimation, object comparison, scene recognition","Questions for existing judging, area estimation, object comparison, scene recognition",RSIVQA,https://github.com/spectralpublic/RSIVQA,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,HRVQA,,,Vision-Language,,,0.08,,,download,https://hrvqa.nl,"1,024","1,070K","53,512","Questions for existing judging, object comparison, scene recognition","Questions for existing judging, object comparison, scene recognition",HRVQA,https://hrvqa.nl,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,CDVQA,,,Vision-Language,,,0.5--3,,,download,https://github.com/YZHJessica/CDVQA,512,122K,"2,968",Questions for object changes,Questions for object changes,CDVQA,https://github.com/YZHJessica/CDVQA,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,FloodNet,,,Vision-Language,,,-,,,download,https://github.com/BinaLab/FloodNet-Challenge-EARTHVISION2021,"3,000--4,000",11K,"2,343",Questions for for building and road damage assessment in disaster scenes,Questions for for building and road damage assessment in disaster scenes,FloodNet,https://github.com/BinaLab/FloodNet-Challenge-EARTHVISION2021,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,RescueNet-VQA,,,Vision-Language,,,0.15,,,download,https://www.codabench.org/competitions/1550,"3,000--4,000",103K,"4,375",Questions for building and road damage assessment in disaster scenes,Questions for building and road damage assessment in disaster scenes,RescueNet-VQA,https://www.codabench.org/competitions/1550,,imported from xiaoaoran dataset table
https://github.com/xiaoaoran/awesome-RSFMs,VLM Datasets,VLM Datasets,VQA,EarthVQA,,,Vision-Language,,,0.3,,,download,https://github.com/Junjue-Wang/EarthVQA,"1,024",208K,"6,000","Questions for relational judging, relational counting, situation analysis, and comprehensive analysis","Questions for relational judging, relational counting, situation analysis, and comprehensive analysis",EarthVQA,https://github.com/Junjue-Wang/EarthVQA,,imported from xiaoaoran dataset table
