id,year,title,authors,venue,category,publication_type,doi,arxiv_id,url,open_pdf_url,citation_count,source,source_query,status,notes,abbreviation,paper_label,paper_url,code_weights_label,code_weights_url,awesome_section
cand0004,2025,SenPa-MAE: Sensor Parameter Aware Masked Autoencoder for Multi-satellite Self-supervised Pretraining,Jonathan Prexl; Michael Schmitt,Lecture notes in computer science; LNCS2025,foundation_models,book-chapter,10.1007/978-3-031-85187-2_20,,https://openalex.org/W4409704554; https://doi.org/10.1007/978-3-031-85187-2_20,,9,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SenPa-MAE,SenPa-MAE,https://doi.org/10.1007/978-3-031-85187-2_20,link,https://github.com/JonathanPrexl/SenPa-MAE,Remote Sensing Vision Foundation Models
cand0005,2024,Feature Guided Masked Autoencoder for Self-Supervised Learning in Remote Sensing,Yi Wang; Hugo Hernández Hernández; Conrad M Albrecht; Xiao Xiang Zhu,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing; IEEE JSTARS2024,foundation_models,article,10.1109/jstars.2024.3493237,,https://openalex.org/W4404708688; https://doi.org/10.1109/jstars.2024.3493237,,34,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,FG-MAE,FG-MAE,https://doi.org/10.1109/jstars.2024.3493237,link,https://github.com/zhu-xlab/FGMAE,Remote Sensing Vision Foundation Models
cand0015,2023,GeoChat: Grounded Large Vision-Language Model for Remote Sensing,Kartik Kuckreja; Muhammad Sohail Danish; Muzammal Naseer; Abhijit Das; Salman Khan; Fahad Shahbaz Khan,arXiv (Cornell University); CVPR2024,foundation_models,preprint,10.48550/arxiv.2311.15826,,https://openalex.org/W4389116425; https://openaccess.thecvf.com/content/CVPR2024/html/Kuckreja_GeoChat_Grounded_Large_Vision-Language_Model_for_Remote_Sensing_CVPR_2024_paper.html,https://arxiv.org/pdf/2311.15826,6,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,GeoChat,GeoChat,https://openaccess.thecvf.com/content/CVPR2024/html/Kuckreja_GeoChat_Grounded_Large_Vision-Language_Model_for_Remote_Sensing_CVPR_2024_paper.html,link,https://github.com/mbzuai-oryx/GeoChat,Remote Sensing Vision-Language Foundation Models
cand0025,2023,CROMA: Remote Sensing Representations with Contrastive Radar-Optical Masked Autoencoders,Anthony T. Fuller; Koreen Millard; James R. Green,arXiv (Cornell University); NeurIPS2023,foundation_models,preprint,10.48550/arxiv.2311.00566,,https://openalex.org/W4388276098; https://arxiv.org/abs/2311.00566,https://arxiv.org/pdf/2311.00566,14,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,CROMA,CROMA,https://arxiv.org/abs/2311.00566,link,https://github.com/antofuller/CROMA,Remote Sensing Vision Foundation Models
cand0030,2025,Rethinking Remote Sensing CLIP: Leveraging Multimodal Large Language Models for High-Quality Vision-Language Dataset,Yuting He; Junjie Zhu; Yiying Li; Qiangjuan Huang; Zhiyuan Wang; Ke Yang,Communications in computer and information science; ICONIP2024,foundation_models,book-chapter,10.1007/978-981-96-6972-1_29,,https://openalex.org/W4411575440; https://doi.org/10.1007/978-981-96-6972-1_29,,2,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,GeoLangBind-2M,Paper,https://doi.org/10.1007/978-981-96-6972-1_29,link,https://github.com/xiong-zhitong/GeoLB-SigLIP,(Large-scale) Pre-training Datasets
cand0031,2025,DOFA-CLIP: Multimodal Vision-Language Foundation Models for Earth Observation,Zhitong Xiong; Yi Wang; Weikang Yu; A. Stewart; Jie Zhao; Nils Lehmann; Thomas Dujardin; Zhenghang Yuan,ArXiv.org; Arxiv2025,foundation_models,preprint,10.48550/arxiv.2503.06312,,https://openalex.org/W4414384031; https://arxiv.org/abs/2503.06312,https://arxiv.org/pdf/2503.06312,1,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,DOFA-CLIP,DOFA-CLIP,https://arxiv.org/abs/2503.06312,link,https://github.com/xiong-zhitong/GeoLB-SigLIP,Remote Sensing Vision-Language Foundation Models
cand0069,2024,SARATR-X: Toward Building A Foundation Model for SAR Target Recognition,Weijie Liu; Wei Yang; Yuenan Hou; Li Liu; Yongxiang Liu; Xiang Li,arXiv (Cornell University); IEEE TIP2025,remote_sensing_pretraining,preprint,10.48550/arxiv.2405.09365,,https://openalex.org/W4396987389; https://ieeexplore.ieee.org/abstract/document/10856784,https://arxiv.org/pdf/2405.09365,1,OpenAlex,"""masked autoencoder"" ""remote sensing""",candidate_model,metadata candidate; screen before citing,SARATR-X,SARATR-X,https://ieeexplore.ieee.org/abstract/document/10856784,link,https://github.com/waterdisappear/SARATR-X,Remote Sensing Vision Foundation Models
cand0071,2023,Towards Geospatial Foundation Models via Continual Pretraining,Matías Mendieta; Boran Han; Xingjian Shi; Yi Zhu; Chen Chen,arXiv (Cornell University); ICCV2023,foundation_models,preprint,10.48550/arxiv.2302.04476,,https://openalex.org/W4320165584; https://doi.org/10.1109/iccv51070.2023.01541,https://arxiv.org/pdf/2302.04476,3,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,GFM,GFM,https://doi.org/10.1109/iccv51070.2023.01541,link,https://github.com/mmendiet/GFM,Remote Sensing Vision Foundation Models
cand0076,2025,SARCLIP: a multimodal foundation framework for SAR imagery via contrastive language-image pre-training,Chaowei Jiang; Chao Wang; Fan Wu; Peifeng Ma; Lichuan Zou; Tianyang Li; Jing Ning; Yixian Tang,ISPRS Journal of Photogrammetry and Remote Sensing; ISPRS JPRS2025,foundation_models,article,10.1016/j.isprsjprs.2025.10.017,,https://openalex.org/W4415595318; https://doi.org/10.1016/j.isprsjprs.2025.10.011,,1,OpenAlex,"""remote sensing"" ""foundation model""",candidate_model,metadata candidate; screen before citing,SARCLIP,SARCLIP,https://doi.org/10.1016/j.isprsjprs.2025.10.011,link,https://huggingface.co/BiliSakura/SARCLIP-ViT-L-14,Remote Sensing Vision-Language Foundation Models
cand0084,2023,USat: A Unified Self-Supervised Encoder for Multi-Sensor Satellite Imagery,Jeremy Irvin; Lucas Tao; Joanne Zhou; Yuntao Ma; Langston Nashold; Benjamín Liu; Andrew Y. Ng,arXiv (Cornell University); Arxiv2023,foundation_models,preprint,10.48550/arxiv.2312.02199,,https://openalex.org/W4389469874; https://arxiv.org/abs/2312.02199,https://arxiv.org/pdf/2312.02199,4,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,USat,USat,https://arxiv.org/abs/2312.02199,link,https://github.com/stanfordmlgroup/USat,Remote Sensing Vision Foundation Models
cand0093,2026,CrossEarth-SAR: A SAR-Centric and Billion-Scale Geospatial Foundation Model for Domain Generalizable Semantic Segmentation,Ziqi Ye; Ziyang Gong; Ning Liao; Xiaoxing Hu; Di Wang; Hongruixuan Chen; Chen Huang; Yiguo He,ArXiv.org; Arxiv2026,foundation_models,article,,,https://openalex.org/W7135428579; https://arxiv.org/abs/2603.12008,https://arxiv.org/pdf/2603.12008,0,OpenAlex,"""earth observation"" ""foundation model""",candidate_model,metadata candidate; screen before citing,CrossEarth-SAR,CrossEarth-SAR,https://arxiv.org/abs/2603.12008,link,https://github.com/VisionXLab/CrossEarth-SAR,Remote Sensing Vision Foundation Models
