metric_id,metric_name,abbreviation,metric_family,higher_is_better,aliases,description,extracted_paper_count
absolute_trajectory_error,Absolute Trajectory Error,ATE,slam_registration,false,absolute trajectory error,Trajectory error.,0
accuracy,Accuracy,Accuracy,classification,true,accuracy|classification accuracy,Fraction of correct predictions.,1647
ap50,Average Precision at IoU 0.50,AP50,detection,true,ap50|ap@50|ap 50|map50|map@50,Average precision at IoU threshold 0.50.,20
ap75,Average Precision at IoU 0.75,AP75,detection,true,ap75|ap@75|ap 75|map75|map@75,Average precision at IoU threshold 0.75.,3
auc_pr,Area Under the Precision-Recall Curve,AUPRC,classification,true,auprc|auc-pr|auc pr|area under the precision-recall|area under precision recall,Area under precision-recall curve.,8
auc_roc,Area Under the Receiver Operating Characteristic Curve,AUROC,classification,true,auroc|auc-roc|auc roc|area under the roc|area under receiver operating,Area under ROC curve.,12
average_accuracy,Average Accuracy,AA,classification,true,average accuracy|mean accuracy,Average per-class accuracy.,39
average_path_length_similarity,Average Path Length Similarity,APLS,network_topology,true,APLS|average path length similarity|SpaceNet APLS|path length similarity,Road/network topology similarity metric used in SpaceNet.,7
average_precision,Average Precision,AP,detection_retrieval,true,average precision|ap50|ap75|ap@50|ap@75,Average precision.,58
average_recall,Average Recall,AR,detection,true,average recall|ar@50|ar@75,Average recall for object detection.,2
balanced_accuracy,Balanced Accuracy,Balanced Acc,classification,true,balanced accuracy,Average recall across classes.,9
bleu,Bilingual Evaluation Understudy,BLEU,captioning_text,true,bleu|bleu-1|bleu-2|bleu-3|bleu-4,Captioning/text metric.,12
boundary_f1,Boundary F1 Score,BFScore,segmentation,true,boundary f1|boundary f-score|bfscore|bf score,Boundary quality F1 score.,0
brier_score,Brier Score,Brier,calibration,false,brier score,Mean squared probabilistic forecast error.,2
ce90,Circular Error 90,CE90,geolocation,false,CE90|circular error 90|horizontal accuracy 90,Radius containing 90 percent of horizontal geolocation errors.,0
chamfer_distance,Chamfer Distance,CD,3d,false,chamfer distance|chamfer,Point cloud/3D reconstruction distance.,2
cider,Consensus-based Image Description Evaluation,CIDEr,captioning,true,cider|cider-d,Image captioning consensus metric.,7
clip_score,CLIP Score,CLIPScore,vision_language_generation,true,clipscore|clip score,Image-text alignment score.,4
cohen_kappa,Cohen Kappa,Kappa,classification_change_detection,true,cohen kappa|kappa coefficient,Chance-corrected agreement.,12
continuous_ranked_probability_score,Continuous Ranked Probability Score,CRPS,forecasting_uncertainty,false,crps|continuous ranked probability score,Probabilistic forecast score.,1
correlation_coefficient,Correlation Coefficient,CC,image_quality_regression,true,correlation coefficient|Pearson correlation|SCC|spectral correlation coefficient,"Correlation metric used in image fusion, regression, and forecasting.",17
critical_success_index,Critical Success Index,CSI,event_detection,true,critical success index|CSI|threat score,"Event detection overlap metric used for floods, fires, clouds, and disasters.",6
dice_coefficient,Dice Coefficient,Dice,segmentation,true,dice coefficient|dice score,Overlap similarity metric.,10
edge_preservation_index,Edge Preservation Index,EPI,sar_insar_image_quality,true,edge preservation index|EPI|edge keeping index,Edge preservation metric for denoising/despeckling.,1
equivalent_number_of_looks,Equivalent Number of Looks,ENL,sar_insar,true,equivalent number of looks|ENL|speckle ENL,SAR despeckling smoothness metric.,3
ergas,Erreur Relative Globale Adimensionnelle de Synthese,ERGAS,pansharpening_fusion,false,ergas,Global relative synthesis error.,2
exact_match,Exact Match,EM,vqa_qa,true,exact match,Exact answer match.,0
expected_calibration_error,Expected Calibration Error,ECE,calibration,false,expected calibration error,Calibration error.,1
f1_score,F1 Score,F1,classification_detection_segmentation,true,f1 score|f1-score|f-measure|f measure,Harmonic mean of precision and recall.,166
