task_name,tag
3D building reconstruction,application
Air pollution prediction,application
Aircraft detection,application
Airplane detection,application
Animal detection,application
Aspect estimation,application
Biomass estimation,application
Boat detection,application
Building counting,application
Building detection,application
Building footprint extraction,application
Building height estimation,application
Building segmentation,application
Burn area segmentation,application
Burn scar mapping,application
Burned area mapping,application
Car detection,application
Coastline extraction,application
Coastline segmentation,application
Counterfactual analysis,application
Crop classification,application
Crop field boundary detection,application
Crop field boundary mapping,application
Crop field delineation,application
Crop field segmentation,application
Crop mask generation,application
Crop type mapping,application
Crop yield forecasting,application
Cropland mapping,application
Cultivated land segmentation,application
Cyanobacteria density estimation,application
Damage assessment,application
Dark vessel detection,application
Data quality assessment,application
Deforestation detection,application
Disaster damage assessment,application
Disaster response mapping,application
Economic activity estimation,application
Elevation modeling,application
Emergency detection,application
Exposure mapping,application
Field boundary delineation,application
Field boundary extraction,application
Fire detection,application
Fire risk assessment,application
Fishing behavior identification,application
Flood mapping,application
Flood segmentation,application
Flood susceptibility mapping,application
Floodwater mapping,application
Forage condition prediction,application
Forest change detection,application
Forest mapping,application
Forest monitoring,application
Forest structure retrieval,application
Glacier mapping,application
Glacier monitoring,application
Glacier prediction,application
Grazing detection,application
High-resolution vegetation index generation,application
Ice cover mapping,application
Impervious surface mapping,application
Individual tree detection,application
Informal settlement detection,application
Infrastructure detection,application
Intervention modeling,application
Land classification,application
Land cover and land use classification,application
Land cover classification,application
Land cover mapping,application
Land cover segmentation,application
Land subsidence detection,application
Land use classification,application
Land use mapping,application
Land use segmentation,application
Landfill detection,application
Landslide classification,application
Landslide detection,application
Landslide segmentation,application
Manmade object segmentation,application
Map generation,application
Methane emission detection,application
Methane plume detection,application
Mining detection,application
Mowing detection,application
Normalized difference vegetation index estimation,application
Normalized difference vegetation index generation,application
Oil storage tank detection,application
Paddy field instance segmentation,application
Parcel boundary extraction,application
Park segmentation,application
Population estimation,application
Post-disaster damage assessment,application
Post-hurricane damage assessment,application
Poverty mapping,application
Property type classification,application
Rapid flood detection,application
Ridge detection,application
Risk mapping,application
River network extraction,application
River segmentation,application
Road extraction,application
Road network classification,application
Road segmentation,application
Roof type recognition,application
Rooftop detection,application
Rooftop segmentation,application
Route extraction,application
Scenario generation,application
Sea ice type retrieval,application
Sensor replication,application
Settlement mapping,application
Ship detection,application
Ship segmentation,application
Ship wake detection,application
Sidewalk segmentation,application
Slope estimation,application
Slum mapping,application
Smoke detection,application
Snow cover mapping,application
Snowmelt timing detection,application
Solar panel detection,application
Solar panel segmentation,application
Solar photovoltaic panel classification,application
Sports field detection,application
Suitability modeling,application
Surface roughness estimation,application
Synthetic aperture radar flood segmentation,application
Synthetic aperture radar ship detection,application
Synthetic aperture radar ship instance segmentation,application
Synthetic aperture radar target recognition,application
Synthetic disaster image generation,application
Tailings dam detection,application
Temperature estimation,application
Terrain classification,application
Terrain mapping,application
Text-to-image geospatial generation,application
Thermal infrared temperature estimation,application
Train detection,application
Tree counting,application
Tree cover mapping,application
Tree crown detection,application
Tree crown segmentation,application
Tree detection,application
Tree species classification,application
Tree species prediction,application
Trees outside forest mapping,application
Uncertainty estimation,application
Urban change detection,application
Utility detection,application
Vegetation forecasting,application
Vegetation health assessment,application
Vegetation index prediction,application
Vegetation mapping,application
Vehicle counting,application
Vehicle detection,application
Vessel classification,application
Vessel detection,application
Vessel segmentation,application
Water body extraction,application
Water detection,application
Water segmentation,application
Wealth estimation,application
Wetland classification,application
Wetland delineation,application
Wetland mapping,application
Wetland segmentation,application
Wildfire forecasting,application
3D change detection,task
3D reconstruction,task
Accessibility analysis,task
Active learning,task
Adversarial robustness,task
Anomaly detection,task
Artifact detection,task
Atmospheric correction,task
Attention visualization,task
Band selection,task
Benchmark evaluation,task
Change detection,task
Classification,task
Cloud detection,task
Cloud detection & removal,task
Cloud masking,task
Cloud masking / removal,task
Cloud removal,task
Co-registration / alignment,task
Coherence estimation,task
Confidence calibration,task
Contour extraction,task
Contrastive learning,task
Coordinate transformation,task
Counting,task
Crop yield & vegetation forecasting,task
Cross-region generalization,task
Cross-resolution translation,task
Cross-season translation,task
Cross-sensor translation,task
Data2Sat,task
Deblurring,task
Denoising / cloud removal,task
Depth estimation / digital surface model estimation,task
Digital elevation model extraction,task
Digital surface model reconstruction,task
Dimensionality reduction,task
Disparity estimation,task
Distributed / scalable inference,task
Domain adaptation,task
Domain transfer,task
Early warning detection,task
Edge detection,task
Event detection,task
Explainable AI,task
Federated learning,task
Few-shot learning,task
Few-shot segmentation,task
Forecasting,task
Foundation model adaptation,task
Gap filling,task
Gaussian image denoising,task
Gaussian splatting,task
Generative modeling,task
Geocoding,task
Geolocalization,task
Georeferencing,task
Hotspot detection,task
Hyperspectral image classification,task
Hyperspectral image denoising,task
Image captioning,task
Image classification,task
Image dehazing,task
Image embedding extraction,task
Image fusion / pansharpening,task
Image matching / alignment,task
Image quality assessment,task
Image registration,task
Image restoration,task
Image retrieval,task
Image retrieval / similarity search,task
Image stitching / mosaicking,task
Image synthesis,task
Image translation,task
Image-to-image translation,task
Image-to-text geospatial description,task
Inpainting,task
Instance segmentation,task
Interferometric synthetic aperture radar denoising,task
Interferometric synthetic aperture radar time series analysis,task
Knowledge graph creation,task
Label-conditional image generation,task
Land-cover-to-image synthesis,task
Line-of-sight analysis,task
Mixed data learning,task
