technique_name,type
AdaBoost classifier,algorithm
AdaBoost regressor,algorithm
Adafactor,algorithm
adaptive moment estimation (Adam),algorithm
adaptive moment estimation with decoupled weight decay (AdamW),algorithm
adaptive optimization,algorithm
additive chi2 sampler,algorithm
affinity propagation,algorithm
agglomerative clustering,algorithm
automatic relevance determination regression (ARD regression),algorithm
bagging classifier,algorithm
bagging regressor,algorithm
bayesian gaussian mixture,algorithm
bayesian optimization,algorithm
bayesian ridge,algorithm
beam search,algorithm
bernoulli nb,algorithm
bernoulli rbm,algorithm
bilevel optimization,algorithm
birch,algorithm
bisecting k means,algorithm
bootstrap your own latent (BYOL),algorithm
calibrated classifier cv,algorithm
canonical correlation analysis (CCA),algorithm
categorical nb,algorithm
classifier chain,algorithm
clustering,algorithm
complement nb,algorithm
constrained optimization,algorithm
decision tree,algorithm
decision tree classifier,algorithm
decision tree regressor,algorithm
deep Q-network (DQN),algorithm
deep research,algorithm
density-based spatial clustering of applications with noise (DBSCAN),algorithm
dictionary learning,algorithm
direct preference optimization (DPO),algorithm
dummy classifier,algorithm
dummy regressor,algorithm
elastic net,algorithm
elastic net cv,algorithm
elliptic envelope,algorithm
empirical covariance,algorithm
evolutionary optimization,algorithm
expectation maximization (EM),algorithm
extra tree classifier,algorithm
extra tree regressor,algorithm
extra trees classifier,algorithm
extra trees regressor,algorithm
factor analysis,algorithm
fast ica,algorithm
feature agglomeration,algorithm
fixed threshold classifier,algorithm
frozen estimator,algorithm
gamma regressor,algorithm
gaussian mixture,algorithm
gaussian nb,algorithm
gaussian process classifier,algorithm
gaussian process regressor,algorithm
gaussian random projection,algorithm
gradient boosting classifier,algorithm
gradient boosting regressor,algorithm
graphical lasso,algorithm
graphical lasso cv,algorithm
grid search,algorithm
grid search cv,algorithm
group relative policy optimization (GRPO),algorithm
hierarchical density-based spatial clustering of applications with noise (HDBSCAN),algorithm
hist gradient boosting classifier,algorithm
hist gradient boosting regressor,algorithm
huber regressor,algorithm
hyperparameter optimization,algorithm
incremental principal component analysis (Incremental PCA),algorithm
isolation forest,algorithm
isomap,algorithm
isotonic regression,algorithm
k neighbors classifier,algorithm
k neighbors regressor,algorithm
k neighbors transformer,algorithm
k-means,algorithm
k-means clustering,algorithm
k-nearest neighbors (kNN),algorithm
kernel density,algorithm
kernel principal component analysis (Kernel PCA),algorithm
kernel ridge,algorithm
label spreading,algorithm
lars,algorithm
lars cv,algorithm
lasso,algorithm
lasso cv,algorithm
lasso lars,algorithm
lasso lars cv,algorithm
lasso lars ic,algorithm
latent dirichlet allocation,algorithm
ledoit wolf,algorithm
linear discriminant analysis,algorithm
linear regression,algorithm
linear support vector classifier (Linear SVC),algorithm
linear support vector regressor (Linear SVR),algorithm
local outlier factor,algorithm
locally linear embedding,algorithm
logistic regression,algorithm
logistic regression cv,algorithm
low-rank factorization,algorithm
matrix factorization,algorithm
mean shift,algorithm
min cov det,algorithm
mini batch dictionary learning,algorithm
mini batch nmf,algorithm
mini-batch k-means,algorithm
mini-batch sparse principal component analysis (MiniBatch Sparse PCA),algorithm
mlp classifier,algorithm
mlp regressor,algorithm
model-agnostic meta-learning (MAML),algorithm
monte carlo tree search,algorithm
monte-carlo tree search,algorithm
multi output classifier,algorithm
multi output regressor,algorithm
multi task elastic net,algorithm
multi task elastic net cv,algorithm
multi task lasso,algorithm
multi task lasso cv,algorithm
multi-objective optimization,algorithm
multidimensional scaling (MDS),algorithm
multinomial nb,algorithm
Muon,algorithm
nearest centroid,algorithm
nearest neighbor,algorithm
nearest neighbors,algorithm
neighborhood components analysis,algorithm
neural architecture search,algorithm
non-maximum suppression (NMS),algorithm
non-negative matrix factorization (NMF),algorithm
nu-support vector classifier (NuSVC),algorithm
nu-support vector regressor (NuSVR),algorithm
nystroem,algorithm
one vs one classifier,algorithm
one vs rest classifier,algorithm
one-class support vector machine (One-Class SVM),algorithm
optics,algorithm
oracle approximating shrinkage (OAS),algorithm
orthogonal matching pursuit,algorithm
orthogonal matching pursuit cv,algorithm
output code classifier,algorithm
partial least squares canonical analysis (PLS canonical),algorithm
partial least squares regression (PLS regression),algorithm
partial least squares singular value decomposition (PLS-SVD),algorithm
passive aggressive classifier,algorithm
passive aggressive regressor,algorithm
perceptron,algorithm
poisson regressor,algorithm
policy gradient,algorithm
polynomial count sketch,algorithm
preference optimization,algorithm
principal component analysis (PCA),algorithm
proximal policy optimization (PPO),algorithm
q-learning,algorithm
quadratic discriminant analysis,algorithm
quantile regressor,algorithm
radial basis function sampler (RBF sampler),algorithm
radius neighbors classifier,algorithm
radius neighbors regressor,algorithm
radius neighbors transformer,algorithm
random forest,algorithm
random forest classifier,algorithm
random forest regressor,algorithm
random sample consensus regressor (RANSAC regressor),algorithm
random trees embedding,algorithm
randomized search cv,algorithm
randomized smoothing,algorithm
regressor chain,algorithm
reinforce,algorithm
ridge,algorithm
ridge classifier,algorithm
ridge classifier cv,algorithm
ridge cv,algorithm
robust optimization,algorithm
self training classifier,algorithm
shrunk covariance,algorithm
skewed chi2 sampler,algorithm
soft actor-critic,algorithm
sparse coder,algorithm
sparse principal component analysis (Sparse PCA),algorithm
sparse random projection,algorithm
spectral biclustering,algorithm
spectral clustering,algorithm
spectral coclustering,algorithm
spectral embedding,algorithm
stacking classifier,algorithm
stacking regressor,algorithm
stochastic gradient descent (SGD),algorithm
stochastic gradient descent classifier (SGD classifier),algorithm
stochastic gradient descent one-class support vector machine (SGD One-Class SVM),algorithm
stochastic gradient descent regressor (SGD regressor),algorithm
support vector classifier (SVC),algorithm
support vector machine (SVM),algorithm
support vector regressor (SVR),algorithm
swarm optimization,algorithm
t-distributed stochastic neighbor embedding (t-SNE),algorithm
tensor decomposition,algorithm
theil sen regressor,algorithm
transformed target regressor,algorithm
truncated svd,algorithm
tuned threshold classifier cv,algorithm
tweedie regressor,algorithm
voting classifier,algorithm
voting regressor,algorithm
adaptive resonance theory network (ART network),architecture
AlexNet,architecture
attention,architecture
attention mechanism,architecture
attention rollout,architecture
attention U-shaped network (Attention U-Net),architecture
autoencoder (AE),architecture
autoencoding language model architecture,architecture
autoregressive language model architecture,architecture
bidirectional and auto-regressive transformers (BART),architecture
bidirectional encoder representations from transformers pre-training variant (ERNIE),architecture
bidirectional long short-term memory (BiLSTM),architecture
bidirectional recurrent neural network (BiRNN),architecture
bidirectional transformer architecture,architecture
big generative adversarial network (BigGAN),architecture
